"uid"	"qRad"	"qLat"	"qLong"	"qString"	"block"	"isDone"	"timLocs"
"13070081"	247.781082178837	46.10416	-64.81636	"46.10416,-64.81636"	1	FALSE	""
"24580619"	250.54437319241	45.63048	-73.44957	"45.63048,-73.44957"	1	FALSE	""
"35060644"	156.187951886181	45.36512	-75.79563	"45.36512,-75.79563"	1	FALSE	""
"59152568"	237.624801021101	49.07405	-122.67507	"49.07405,-122.67507"	1	FALSE	""
"46110168"	180.763794299447	49.92563	-97.16172	"49.92563,-97.16172"	1	FALSE	""
"24690102"	113.661415378789	45.02629	-74.57369	"45.02629,-74.57369"	1	FALSE	""
"35530111"	292.04040597974	46.525	-80.94677	"46.525,-80.94677"	1	FALSE	""
"59290141"	652.939499178	49.48591	-123.78066	"49.48591,-123.78066"	1	FALSE	""
"24610100"	164.803111933317	46.02322	-73.44134	"46.02322,-73.44134"	1	FALSE	""
"35204852"	274.604056914753	43.7501	-79.33035	"43.7501,-79.33035"	1	FALSE	""
"48150113"	448.349801377378	51.07355	-115.36507	"51.07355,-115.36507"	1	FALSE	""
"59310186"	3441.13942258953	49.8252	-123.20774	"49.8252,-123.20774"	1	FALSE	""
"59370146"	501.333152345872	50.44931	-119.19285	"50.44931,-119.19285"	1	FALSE	""
"24661971"	103.200911198414	45.54264	-73.58791	"45.54264,-73.58791"	1	FALSE	""
"35120159"	227.135042794046	44.17249	-77.40781	"44.17249,-77.40781"	1	FALSE	""
"35201701"	256.982856792954	43.66458	-79.537	"43.66458,-79.537"	1	FALSE	""
"35200380"	234.863954496155	43.74847	-79.36539	"43.74847,-79.36539"	1	FALSE	""
"35580049"	316.235955162361	48.37034	-89.28359	"48.37034,-89.28359"	1	FALSE	""
"48062404"	4673.79114784235	50.92737	-113.7905	"50.92737,-113.7905"	1	FALSE	""
"24650454"	267.448344667889	45.5796	-73.8093	"45.5796,-73.8093"	1	FALSE	""
"35240325"	284.468858009004	43.36875	-79.80973	"43.36875,-79.80973"	1	FALSE	""
"24790128"	4154.39108199611	46.70853	-75.53056	"46.70853,-75.53056"	1	FALSE	""
"10010653"	603.948187404756	47.52983	-52.7964	"47.52983,-52.7964"	1	FALSE	""
"11010069"	630.372867636497	46.18271	-62.53371	"46.18271,-62.53371"	1	FALSE	""
"24230926"	398.446978227796	46.90325	-71.37279	"46.90325,-71.37279"	1	FALSE	""
"24810049"	327.582443529664	45.49642	-75.59799	"45.49642,-75.59799"	1	FALSE	""
"59210433"	681.50888775986	49.13365	-123.9283	"49.13365,-123.9283"	1	FALSE	""
"35370365"	238.109073631277	42.26709	-83.02181	"42.26709,-83.02181"	1	FALSE	""
"47060598"	481.697804407065	50.93915	-104.36129	"50.93915,-104.36129"	1	FALSE	""
"47160193"	382.758846654438	53.21236	-107.13296	"53.21236,-107.13296"	1	FALSE	""
"59152278"	124.854488774778	49.12024	-122.88145	"49.12024,-122.88145"	1	FALSE	""
"24663208"	144.400912446966	45.47817	-73.62732	"45.47817,-73.62732"	1	FALSE	""
"24460078"	3199.85661626066	45.24204	-72.41666	"45.24204,-72.41666"	1	FALSE	""
"59260394"	333.112268440386	49.6811	-125.02566	"49.6811,-125.02566"	1	FALSE	""
"24470203"	261.152396874864	45.42121	-72.73137	"45.42121,-72.73137"	1	FALSE	""
"35020167"	3061.48070843234	45.24908	-75.18405	"45.24908,-75.18405"	1	FALSE	""
"24790114"	494.362248057089	46.54556	-75.51251	"46.54556,-75.51251"	1	FALSE	""
"35204488"	111.258472081671	43.70337	-79.44011	"43.70337,-79.44011"	1	FALSE	""
"48060533"	151.355257492403	50.95169	-114.08079	"50.95169,-114.08079"	1	FALSE	""
"24650243"	235.473994277928	45.60955	-73.65166	"45.60955,-73.65166"	1	FALSE	""
"24660027"	215.655073023436	45.66513	-73.49681	"45.66513,-73.49681"	1	FALSE	""
"24660645"	166.002677182681	45.47911	-73.62299	"45.47911,-73.62299"	1	FALSE	""
"35360253"	494.139426135399	42.42116	-82.20014	"42.42116,-82.20014"	1	FALSE	""
"46111051"	230.761601271668	49.85819	-97.19033	"49.85819,-97.19033"	1	FALSE	""
"24140057"	3167.94017873009	47.54846	-69.78783	"47.54846,-69.78783"	1	FALSE	""
"35061323"	391.607881201207	45.32749	-75.78448	"45.32749,-75.78448"	1	FALSE	""
"13060031"	327.551598525917	46.06025	-64.80775	"46.06025,-64.80775"	1	FALSE	""
"59153689"	451.977650163417	49.26828	-123.12913	"49.26828,-123.12913"	1	FALSE	""
"10040109"	17878.3955759857	48.1746	-58.92042	"48.1746,-58.92042"	1	FALSE	""
"13070284"	2915.2722823348	46.06173	-64.55232	"46.06173,-64.55232"	1	FALSE	""
"35280228"	4814.55848227717	42.89886	-79.78464	"42.89886,-79.78464"	1	FALSE	""
"35202972"	232.852877132001	43.698	-79.53055	"43.698,-79.53055"	1	FALSE	""
"24580601"	286.376942294094	45.53788	-73.36253	"45.53788,-73.36253"	1	FALSE	""
"35320224"	204.673401929219	43.04087	-80.87494	"43.04087,-80.87494"	1	FALSE	""
"24220062"	1617.69568064806	47.00032	-71.20517	"47.00032,-71.20517"	1	FALSE	""
"59090458"	513.419157616093	49.8895	-122.30486	"49.8895,-122.30486"	1	FALSE	""
"47110369"	254.416953078094	52.1417	-106.71862	"52.1417,-106.71862"	1	FALSE	""
"10080219"	2072.4772498819	49.58663	-56.17963	"49.58663,-56.17963"	1	FALSE	""
"59170567"	356.254384199241	48.48018	-123.33261	"48.48018,-123.33261"	1	FALSE	""
"12090342"	138.216227250634	44.65192	-63.58733	"44.65192,-63.58733"	1	FALSE	""
"59151661"	160.762208363386	49.29113	-122.78009	"49.29113,-122.78009"	1	FALSE	""
"35340125"	386.14780301438	42.77954	-81.18168	"42.77954,-81.18168"	1	FALSE	""
"35180156"	254.309604621263	43.89458	-78.85606	"43.89458,-78.85606"	1	FALSE	""
"35340158"	1328.39100333679	42.82194	-80.95884	"42.82194,-80.95884"	1	FALSE	""
"59150254"	239.069706295197	49.28509	-122.95467	"49.28509,-122.95467"	1	FALSE	""
"35260550"	214.974225280271	43.18812	-79.22341	"43.18812,-79.22341"	1	FALSE	""
"59330057"	271.576410861158	50.67412	-120.34502	"50.67412,-120.34502"	1	FALSE	""
"24580434"	223.187546599868	45.49008	-73.3953	"45.49008,-73.3953"	1	FALSE	""
"24662561"	133.57243418964	45.53912	-73.70025	"45.53912,-73.70025"	1	FALSE	""
"35390764"	3485.90419176539	42.91291	-81.60326	"42.91291,-81.60326"	1	FALSE	""
"35210735"	182.184506644294	43.51345	-79.65118	"43.51345,-79.65118"	1	FALSE	""
"13100308"	2292.53998172494	45.9929	-66.85558	"45.9929,-66.85558"	1	FALSE	""
"24650228"	287.405860770784	45.60137	-73.6777	"45.60137,-73.6777"	1	FALSE	""
"35204089"	86.6469436286665	43.67671	-79.36043	"43.67671,-79.36043"	1	FALSE	""
"46110013"	148.921732110932	49.94396	-97.12378	"49.94396,-97.12378"	1	FALSE	""
"59153039"	220.6806897995	49.26049	-122.75302	"49.26049,-122.75302"	1	FALSE	""
"24520067"	402.168039446255	46.29341	-73.3775	"46.29341,-73.3775"	1	FALSE	""
"24670082"	173.963077861574	45.38234	-73.52975	"45.38234,-73.52975"	1	FALSE	""
"35204386"	187.675807402802	43.7112	-79.40702	"43.7112,-79.40702"	1	FALSE	""
"24200016"	2098.87957949393	46.87032	-71.01092	"46.87032,-71.01092"	1	FALSE	""
"24870080"	4913.84984943543	48.61448	-79.26938	"48.61448,-79.26938"	1	FALSE	""
"24660273"	140.091618236844	45.58428	-73.59454	"45.58428,-73.59454"	1	FALSE	""
"35180442"	400.627499975877	43.8351	-79.08572	"43.8351,-79.08572"	1	FALSE	""
"24663136"	1040.4321522448	45.44227	-73.79335	"45.44227,-73.79335"	1	FALSE	""
"24560146"	239.498639093524	45.35196	-73.2796	"45.35196,-73.2796"	1	FALSE	""
"24700138"	190.383647802541	45.25942	-74.12436	"45.25942,-74.12436"	1	FALSE	""
"24870078"	3973.68570178183	48.66455	-79.23188	"48.66455,-79.23188"	1	FALSE	""
"24970126"	3955.8320680447	50.14292	-66.67396	"50.14292,-66.67396"	1	FALSE	""
"12130025"	3103.41606083704	45.37578	-61.52508	"45.37578,-61.52508"	1	FALSE	""
"24460156"	5408.20420173421	45.0736	-72.6234	"45.0736,-72.6234"	1	FALSE	""
"35202440"	256.311500613684	43.78439	-79.39908	"43.78439,-79.39908"	1	FALSE	""
"35202348"	205.440222126438	43.72375	-79.39693	"43.72375,-79.39693"	1	FALSE	""
"35204577"	191.727444800333	43.66212	-79.34623	"43.66212,-79.34623"	1	FALSE	""
"24390168"	277.015561796563	46.05056	-72.00138	"46.05056,-72.00138"	1	FALSE	""
"24660093"	185.885299662854	45.58844	-73.51044	"45.58844,-73.51044"	1	FALSE	""
"35180058"	1773.12144722955	44.20802	-78.97212	"44.20802,-78.97212"	1	FALSE	""
"24430013"	195.620975267183	45.41683	-71.87565	"45.41683,-71.87565"	1	FALSE	""
"24650041"	295.626684111016	45.64304	-73.748	"45.64304,-73.748"	1	FALSE	""
"24250217"	216.405822159823	46.81737	-71.18131	"46.81737,-71.18131"	1	FALSE	""
"46110184"	173.503602827697	49.95314	-97.18109	"49.95314,-97.18109"	1	FALSE	""
"24580157"	229.59159361032	45.50666	-73.5143	"45.50666,-73.5143"	1	FALSE	""
"35250409"	161.022262778716	43.26331	-79.88633	"43.26331,-79.88633"	1	FALSE	""
"47110086"	292.639383873075	52.11045	-106.64947	"52.11045,-106.64947"	1	FALSE	""
"24460146"	1614.70138982908	45.16345	-72.7787	"45.16345,-72.7787"	1	FALSE	""
"24230556"	390.551641609643	46.76318	-71.35456	"46.76318,-71.35456"	1	FALSE	""
"35260427"	243.4569855475	43.1932	-79.23784	"43.1932,-79.23784"	1	FALSE	""
