Census Profile - Dissemination Areas (DAs),,,,,,,,,,,,
Geo_Code,Prov_Name,DA_Name,Topic,Characteristic,Note,Total,Flag_Total,Male,Flag_Male,Female,Flag_Female
10010165,Newfoundland and Labrador,0165,Population and dwelling counts,Population in 2011,1,543,,,...,,...
10010165,Newfoundland and Labrador,0165,Population and dwelling counts,Population in 2006,1,,...,,...,,...
10010165,Newfoundland and Labrador,0165,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
10010165,Newfoundland and Labrador,0165,Population and dwelling counts,Total private dwellings,2,220,,,...,,...
10010165,Newfoundland and Labrador,0165,Population and dwelling counts,Private dwellings occupied by usual residents,3,212,,,...,,...
10010165,Newfoundland and Labrador,0165,Population and dwelling counts,Population density per square kilometre,,,...,,...,,...
10010165,Newfoundland and Labrador,0165,Population and dwelling counts,Land area (square km),,0.37,,,...,,...
10010165,Newfoundland and Labrador,0165,Age characteristics,Total population by age groups,4,545,,270,,275,
10010165,Newfoundland and Labrador,0165,Age characteristics,   0 to 4 years,,20,,10,,5,
10010165,Newfoundland and Labrador,0165,Age characteristics,   5 to 9 years,,25,,15,,15,
10010165,Newfoundland and Labrador,0165,Age characteristics,   10 to 14 years,,20,,10,,10,
10010165,Newfoundland and Labrador,0165,Age characteristics,   15 to 19 years,,40,,20,,15,
10010165,Newfoundland and Labrador,0165,Age characteristics,      15 years,,10,,5,,0,
10010165,Newfoundland and Labrador,0165,Age characteristics,      16 years,,5,,0,,5,
10010165,Newfoundland and Labrador,0165,Age characteristics,      17 years,,10,,5,,0,
10010165,Newfoundland and Labrador,0165,Age characteristics,      18 years,,10,,5,,5,
10010165,Newfoundland and Labrador,0165,Age characteristics,      19 years,,10,,5,,5,
10010165,Newfoundland and Labrador,0165,Age characteristics,   20 to 24 years,,60,,35,,25,
10010165,Newfoundland and Labrador,0165,Age characteristics,   25 to 29 years,,30,,15,,15,
10010165,Newfoundland and Labrador,0165,Age characteristics,   30 to 34 years,,25,,10,,10,
10010165,Newfoundland and Labrador,0165,Age characteristics,   35 to 39 years,,25,,10,,10,
10010165,Newfoundland and Labrador,0165,Age characteristics,   40 to 44 years,,40,,20,,20,
10010165,Newfoundland and Labrador,0165,Age characteristics,   45 to 49 years,,40,,20,,25,
10010165,Newfoundland and Labrador,0165,Age characteristics,   50 to 54 years,,50,,25,,30,
10010165,Newfoundland and Labrador,0165,Age characteristics,   55 to 59 years,,70,,35,,35,
10010165,Newfoundland and Labrador,0165,Age characteristics,   60 to 64 years,,40,,20,,20,
10010165,Newfoundland and Labrador,0165,Age characteristics,   65 to 69 years,,30,,20,,15,
10010165,Newfoundland and Labrador,0165,Age characteristics,   70 to 74 years,,5,,5,,5,
10010165,Newfoundland and Labrador,0165,Age characteristics,   75 to 79 years,,10,,5,,5,
10010165,Newfoundland and Labrador,0165,Age characteristics,   80 to 84 years,,0,,0,,5,
10010165,Newfoundland and Labrador,0165,Age characteristics,   85 years and over,,10,,5,,5,
10010165,Newfoundland and Labrador,0165,Age characteristics,Median age of the population,5,44.1,,42.5,,45.8,
10010165,Newfoundland and Labrador,0165,Age characteristics,% of the population aged 15 and over,,87.2,,87,,89,
10010166,Newfoundland and Labrador,0166,Population and dwelling counts,Population in 2011,1,367,,,...,,...
10010166,Newfoundland and Labrador,0166,Population and dwelling counts,Population in 2006,1,,...,,...,,...
10010166,Newfoundland and Labrador,0166,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
10010166,Newfoundland and Labrador,0166,Population and dwelling counts,Total private dwellings,2,163,,,...,,...
10010166,Newfoundland and Labrador,0166,Population and dwelling counts,Private dwellings occupied by usual residents,3,152,,,...,,...
10010166,Newfoundland and Labrador,0166,Population and dwelling counts,Population density per square kilometre,,,...,,...,,...
10010166,Newfoundland and Labrador,0166,Population and dwelling counts,Land area (square km),,0.09,,,...,,...
10010166,Newfoundland and Labrador,0166,Age characteristics,Total population by age groups,4,365,,165,,200,
10010166,Newfoundland and Labrador,0166,Age characteristics,   0 to 4 years,,10,,10,,0,
10010166,Newfoundland and Labrador,0166,Age characteristics,   5 to 9 years,,20,,10,,10,
10010166,Newfoundland and Labrador,0166,Age characteristics,   10 to 14 years,,25,,10,,15,
10010166,Newfoundland and Labrador,0166,Age characteristics,   15 to 19 years,,25,,5,,15,
10010166,Newfoundland and Labrador,0166,Age characteristics,      15 years,,0,,5,,0,
10010166,Newfoundland and Labrador,0166,Age characteristics,      16 years,,5,,0,,5,
10010166,Newfoundland and Labrador,0166,Age characteristics,      17 years,,5,,0,,5,
10010166,Newfoundland and Labrador,0166,Age characteristics,      18 years,,5,,0,,5,
10010166,Newfoundland and Labrador,0166,Age characteristics,      19 years,,10,,5,,5,
10010166,Newfoundland and Labrador,0166,Age characteristics,   20 to 24 years,,35,,15,,15,
10010166,Newfoundland and Labrador,0166,Age characteristics,   25 to 29 years,,20,,10,,10,
10010166,Newfoundland and Labrador,0166,Age characteristics,   30 to 34 years,,20,,10,,10,
10010166,Newfoundland and Labrador,0166,Age characteristics,   35 to 39 years,,15,,5,,10,
10010166,Newfoundland and Labrador,0166,Age characteristics,   40 to 44 years,,25,,10,,10,
10010166,Newfoundland and Labrador,0166,Age characteristics,   45 to 49 years,,25,,10,,15,
10010166,Newfoundland and Labrador,0166,Age characteristics,   50 to 54 years,,30,,10,,20,
10010166,Newfoundland and Labrador,0166,Age characteristics,   55 to 59 years,,45,,20,,15,
10010166,Newfoundland and Labrador,0166,Age characteristics,   60 to 64 years,,35,,15,,20,
10010166,Newfoundland and Labrador,0166,Age characteristics,   65 to 69 years,,25,,15,,15,
10010166,Newfoundland and Labrador,0166,Age characteristics,   70 to 74 years,,5,,5,,5,
10010166,Newfoundland and Labrador,0166,Age characteristics,   75 to 79 years,,5,,0,,0,
10010166,Newfoundland and Labrador,0166,Age characteristics,   80 to 84 years,,10,,0,,5,
10010166,Newfoundland and Labrador,0166,Age characteristics,   85 years and over,,10,,0,,5,
10010166,Newfoundland and Labrador,0166,Age characteristics,Median age of the population,5,43.9,,43.2,,44.7,
10010166,Newfoundland and Labrador,0166,Age characteristics,% of the population aged 15 and over,,86.6,,86.1,,89.3,
10010167,Newfoundland and Labrador,0167,Population and dwelling counts,Population in 2011,1,458,,,...,,...
10010167,Newfoundland and Labrador,0167,Population and dwelling counts,Population in 2006,1,,...,,...,,...
10010167,Newfoundland and Labrador,0167,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
10010167,Newfoundland and Labrador,0167,Population and dwelling counts,Total private dwellings,2,198,,,...,,...
10010167,Newfoundland and Labrador,0167,Population and dwelling counts,Private dwellings occupied by usual residents,3,187,,,...,,...
10010167,Newfoundland and Labrador,0167,Population and dwelling counts,Population density per square kilometre,,,...,,...,,...
10010167,Newfoundland and Labrador,0167,Population and dwelling counts,Land area (square km),,0.14,,,...,,...
10010167,Newfoundland and Labrador,0167,Age characteristics,Total population by age groups,4,455,,220,,245,
10010167,Newfoundland and Labrador,0167,Age characteristics,   0 to 4 years,,15,,10,,10,
10010167,Newfoundland and Labrador,0167,Age characteristics,   5 to 9 years,,20,,15,,5,
10010167,Newfoundland and Labrador,0167,Age characteristics,   10 to 14 years,,25,,15,,10,
10010167,Newfoundland and Labrador,0167,Age characteristics,   15 to 19 years,,25,,10,,15,
10010167,Newfoundland and Labrador,0167,Age characteristics,      15 years,,0,,5,,0,
10010167,Newfoundland and Labrador,0167,Age characteristics,      16 years,,5,,5,,5,
10010167,Newfoundland and Labrador,0167,Age characteristics,      17 years,,5,,5,,0,
10010167,Newfoundland and Labrador,0167,Age characteristics,      18 years,,5,,0,,0,
10010167,Newfoundland and Labrador,0167,Age characteristics,      19 years,,10,,5,,5,
10010167,Newfoundland and Labrador,0167,Age characteristics,   20 to 24 years,,50,,20,,30,
10010167,Newfoundland and Labrador,0167,Age characteristics,   25 to 29 years,,40,,15,,25,
10010167,Newfoundland and Labrador,0167,Age characteristics,   30 to 34 years,,15,,10,,10,
10010167,Newfoundland and Labrador,0167,Age characteristics,   35 to 39 years,,30,,15,,15,
10010167,Newfoundland and Labrador,0167,Age characteristics,   40 to 44 years,,20,,10,,10,
10010167,Newfoundland and Labrador,0167,Age characteristics,   45 to 49 years,,25,,10,,15,
10010167,Newfoundland and Labrador,0167,Age characteristics,   50 to 54 years,,55,,25,,35,
10010167,Newfoundland and Labrador,0167,Age characteristics,   55 to 59 years,,50,,25,,25,
10010167,Newfoundland and Labrador,0167,Age characteristics,   60 to 64 years,,40,,20,,20,
10010167,Newfoundland and Labrador,0167,Age characteristics,   65 to 69 years,,25,,15,,10,
10010167,Newfoundland and Labrador,0167,Age characteristics,   70 to 74 years,,10,,10,,0,
10010167,Newfoundland and Labrador,0167,Age characteristics,   75 to 79 years,,5,,0,,5,
10010167,Newfoundland and Labrador,0167,Age characteristics,   80 to 84 years,,5,,5,,0,
10010167,Newfoundland and Labrador,0167,Age characteristics,   85 years and over,,5,,5,,0,
10010167,Newfoundland and Labrador,0167,Age characteristics,Median age of the population,5,42.8,,42.5,,42.8,
10010167,Newfoundland and Labrador,0167,Age characteristics,% of the population aged 15 and over,,86.4,,85.3,,89.2,
10010168,Newfoundland and Labrador,0168,Population and dwelling counts,Population in 2011,1,580,,,...,,...
10010168,Newfoundland and Labrador,0168,Population and dwelling counts,Population in 2006,1,,...,,...,,...
10010168,Newfoundland and Labrador,0168,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
10010168,Newfoundland and Labrador,0168,Population and dwelling counts,Total private dwellings,2,258,,,...,,...
10010168,Newfoundland and Labrador,0168,Population and dwelling counts,Private dwellings occupied by usual residents,3,241,,,...,,...
10010168,Newfoundland and Labrador,0168,Population and dwelling counts,Population density per square kilometre,,,...,,...,,...
10010168,Newfoundland and Labrador,0168,Population and dwelling counts,Land area (square km),,0.2,,,...,,...
10010168,Newfoundland and Labrador,0168,Age characteristics,Total population by age groups,4,580,,275,,310,
10010168,Newfoundland and Labrador,0168,Age characteristics,   0 to 4 years,,15,,5,,10,
10010168,Newfoundland and Labrador,0168,Age characteristics,   5 to 9 years,,10,,5,,5,
10010168,Newfoundland and Labrador,0168,Age characteristics,   10 to 14 years,,35,,15,,20,
10010168,Newfoundland and Labrador,0168,Age characteristics,   15 to 19 years,,20,,10,,10,
10010168,Newfoundland and Labrador,0168,Age characteristics,      15 years,,5,,5,,0,
10010168,Newfoundland and Labrador,0168,Age characteristics,      16 years,,0,,0,,0,
10010168,Newfoundland and Labrador,0168,Age characteristics,      17 years,,5,,0,,0,
10010168,Newfoundland and Labrador,0168,Age characteristics,      18 years,,5,,5,,5,
10010168,Newfoundland and Labrador,0168,Age characteristics,      19 years,,5,,5,,0,
10010168,Newfoundland and Labrador,0168,Age characteristics,   20 to 24 years,,40,,15,,25,
10010168,Newfoundland and Labrador,0168,Age characteristics,   25 to 29 years,,55,,30,,25,
10010168,Newfoundland and Labrador,0168,Age characteristics,   30 to 34 years,,25,,10,,15,
10010168,Newfoundland and Labrador,0168,Age characteristics,   35 to 39 years,,20,,10,,15,
10010168,Newfoundland and Labrador,0168,Age characteristics,   40 to 44 years,,55,,30,,20,
10010168,Newfoundland and Labrador,0168,Age characteristics,   45 to 49 years,,40,,20,,25,
10010168,Newfoundland and Labrador,0168,Age characteristics,   50 to 54 years,,50,,25,,25,
10010168,Newfoundland and Labrador,0168,Age characteristics,   55 to 59 years,,55,,25,,35,
10010168,Newfoundland and Labrador,0168,Age characteristics,   60 to 64 years,,55,,30,,25,
10010168,Newfoundland and Labrador,0168,Age characteristics,   65 to 69 years,,45,,15,,25,
10010168,Newfoundland and Labrador,0168,Age characteristics,   70 to 74 years,,25,,10,,15,
10010168,Newfoundland and Labrador,0168,Age characteristics,   75 to 79 years,,20,,10,,10,
10010168,Newfoundland and Labrador,0168,Age characteristics,   80 to 84 years,,10,,0,,5,
10010168,Newfoundland and Labrador,0168,Age characteristics,   85 years and over,,5,,5,,5,
10010168,Newfoundland and Labrador,0168,Age characteristics,Median age of the population,5,46.5,,45.5,,46.8,
10010168,Newfoundland and Labrador,0168,Age characteristics,% of the population aged 15 and over,,89.1,,90.5,,87.9,
10010169,Newfoundland and Labrador,0169,Population and dwelling counts,Population in 2011,1,351,,,...,,...
10010169,Newfoundland and Labrador,0169,Population and dwelling counts,Population in 2006,1,,...,,...,,...
10010169,Newfoundland and Labrador,0169,Population and dwelling counts,2006 to 2011 population change (%),,,...,,...,,...
